Freq.	V(out)/V(n002)
1.32434153519466e+000	(1.07179068968110e+002dB,-5.03798748123666e+000°)
1.32739445772973e+000	(1.07178914382176e+002dB,-5.04954126727903e+000°)
1.33045441797808e+000	(1.07178759088246e+002dB,-5.06112127441180e+000°)
1.33352143216332e+000	(1.07178603083104e+002dB,-5.07272756024684e+000°)
1.33659551654643e+000	(1.07178446363517e+002dB,-5.08436018250955e+000°)
1.33967668742593e+000	(1.07178288926239e+002dB,-5.09601919903893e+000°)
1.34276496113786e+000	(1.07178130768011e+002dB,-5.10770466778779e+000°)
1.34586035405594e+000	(1.07177971885557e+002dB,-5.11941664682279e+000°)
1.34896288259164e+000	(1.07177812275587e+002dB,-5.13115519432468e+000°)
1.35207256319427e+000	(1.07177651934798e+002dB,-5.14292036858831e+000°)
1.35518941235103e+000	(1.07177490859870e+002dB,-5.15471222802286e+000°)
1.35831344658715e+000	(1.07177329047469e+002dB,-5.16653083115192e+000°)
1.36144468246594e+000	(1.07177166494247e+002dB,-5.17837623661361e+000°)
1.36458313658892e+000	(1.07177003196839e+002dB,-5.19024850316071e+000°)
1.36772882559584e+000	(1.07176839151867e+002dB,-5.20214768966085e+000°)
1.37088176616484e+000	(1.07176674355937e+002dB,-5.21407385509653e+000°)
1.37404197501251e+000	(1.07176508805640e+002dB,-5.22602705856533e+000°)
1.37720946889394e+000	(1.07176342497551e+002dB,-5.23800735927997e+000°)
1.38038426460288e+000	(1.07176175428232e+002dB,-5.25001481656852e+000°)
1.38356637897177e+000	(1.07176007594227e+002dB,-5.26204948987443e+000°)
1.38675582887188e+000	(1.07175838992067e+002dB,-5.27411143875671e+000°)
1.38995263121334e+000	(1.07175669618264e+002dB,-5.28620072289003e+000°)
1.39315680294529e+000	(1.07175499469319e+002dB,-5.29831740206486e+000°)
1.39636836105593e+000	(1.07175328541715e+002dB,-5.31046153618755e+000°)
1.39958732257261e+000	(1.07175156831917e+002dB,-5.32263318528051e+000°)
1.40281370456195e+000	(1.07174984336380e+002dB,-5.33483240948229e+000°)
1.40604752412990e+000	(1.07174811051537e+002dB,-5.34705926904770e+000°)
1.40928879842186e+000	(1.07174636973810e+002dB,-5.35931382434793e+000°)
1.41253754462274e+000	(1.07174462099602e+002dB,-5.37159613587068e+000°)
1.41579377995707e+000	(1.07174286425302e+002dB,-5.38390626422027e+000°)
1.41905752168908e+000	(1.07174109947281e+002dB,-5.39624427011774e+000°)
1.42232878712281e+000	(1.07173932661895e+002dB,-5.40861021440101e+000°)
1.42560759360218e+000	(1.07173754565484e+002dB,-5.42100415802492e+000°)
1.42889395851109e+000	(1.07173575654371e+002dB,-5.43342616206142e+000°)
1.43218789927353e+000	(1.07173395924863e+002dB,-5.44587628769964e+000°)
1.43548943335364e+000	(1.07173215373250e+002dB,-5.45835459624602e+000°)
1.43879857825583e+000	(1.07173033995808e+002dB,-5.47086114912440e+000°)
